window_size,precision,recall,f1_score,mean_coverage,discovered_indexes,discovered_motif_spots,motif_count,context_columns,context_columns_count
30,0.7,0.07,0.1272727272727273,0.8904761904761906,"[(450, 32), (593, 32), (1166, 30), (1734, 32), (2164, 32), (3309, 32), (3593, 30)]","{455, 1739, 3598, 1169, 3314, 598, 2169}",10,['targetApp'],1
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (364, 61), (507, 61), (650, 61), (793, 61), (1021, 92), (1221, 61), (1364, 61), (1507, 61)]","{1537, 1251, 680, 394, 110, 1394, 823, 537, 1082, 253}",10,"['targetApp', 'eventType']",2
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (364, 61), (507, 61), (650, 61), (793, 61), (1021, 92), (1221, 61), (1364, 61), (1507, 61)]","{99, 1383, 812, 526, 1071, 242, 1526, 1240, 669, 383}",10,"['targetApp', 'eventType', 'url']",3
30,1.0,0.1,0.18181818181818182,0.9666666666666666,"[(80, 61), (364, 61), (934, 62), (1791, 61), (3223, 61), (3507, 61), (5511, 61), (6084, 61), (6227, 61), (6657, 61)]","{6656, 6083, 933, 5510, 363, 79, 3506, 6226, 3222, 1790}",10,"['targetApp', 'eventType', 'url', 'target.workbookName']",4
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (364, 61), (507, 61), (650, 61), (793, 61), (1021, 92), (1221, 61), (1364, 61), (1507, 61)]","{1538, 1252, 681, 395, 111, 1395, 824, 538, 1083, 254}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName']",5
30,1.0,0.1,0.18181818181818182,1.0,"[(507, 61), (650, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2365, 61), (2597, 88), (3080, 61), (3366, 61)]","{3396, 3110, 680, 1964, 1678, 537, 1082, 2395, 1821, 2654}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id']",6
30,1.0,0.1,0.18181818181818182,1.0,"[(507, 61), (650, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2365, 61), (2597, 88), (3080, 61), (3366, 61)]","{3396, 3110, 680, 1964, 1678, 537, 1082, 2395, 1821, 2654}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class']",7
30,1.0,0.1,0.18181818181818182,1.0,"[(507, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2078, 61), (2597, 88), (2936, 61), (3366, 61), (4077, 61)]","{3396, 4107, 1964, 1678, 2966, 537, 1082, 2108, 1821, 2654}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName']",8
30,1.0,0.1,0.18181818181818182,1.0,"[(507, 61), (1021, 92), (2597, 88), (3366, 61), (3648, 61), (3791, 61), (4366, 61), (4795, 61), (5225, 61), (5654, 61)]","{3396, 5255, 2654, 4396, 3821, 537, 5684, 4825, 1082, 3678}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type']",9
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (650, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2221, 64), (2793, 61), (2936, 61)]","{2823, 680, 1964, 1678, 2254, 110, 2966, 253, 1082, 1821}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name']",10
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (650, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2221, 64), (2793, 61), (2936, 61)]","{2823, 680, 1964, 1678, 2254, 110, 2966, 253, 1082, 1821}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name', 'target.innerText']",11
30,1.0,0.1,0.18181818181818182,1.0,"[(80, 61), (223, 61), (650, 61), (1021, 92), (1648, 61), (1791, 61), (1934, 61), (2221, 64), (2793, 61), (2936, 61)]","{2823, 680, 1964, 1678, 2254, 110, 2966, 253, 1082, 1821}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name', 'target.innerText', 'target.checked']",12
30,1.0,0.1,0.18181818181818182,1.0,"[(364, 61), (793, 61), (1364, 61), (1791, 61), (1934, 61), (3223, 61), (3507, 61), (3934, 61), (4220, 63), (4795, 61)]","{3963, 393, 1963, 3536, 1393, 3252, 822, 4824, 4251, 1820}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name', 'target.innerText', 'target.checked', 'target.href']",13
30,1.0,0.1,0.18181818181818182,1.0,"[(364, 61), (793, 61), (1364, 61), (1791, 61), (1934, 61), (3223, 61), (3507, 61), (3934, 61), (4220, 63), (4795, 61)]","{3963, 393, 1963, 3536, 1393, 3252, 822, 4824, 4251, 1820}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name', 'target.innerText', 'target.checked', 'target.href', 'target.option']",14
