window_size,precision,recall,f1_score,mean_coverage,discovered_indexes,discovered_motif_spots,motif_count,context_columns,context_columns_count
30,0.7,0.07,0.1272727272727273,0.7999999999999999,"[(54, 31), (498, 31), (554, 31), (1890, 31), (2003, 31), (2395, 31), (2675, 31)]","{2010, 2402, 1897, 561, 505, 2682, 61}",10,['targetApp'],1
30,1.0,0.1,0.18181818181818182,1.0,"[(54, 31), (164, 31), (220, 31), (276, 31), (443, 30), (498, 31), (554, 31), (664, 31), (720, 31), (833, 31)]","{834, 165, 555, 721, 499, 277, 55, 665, 443, 221}",10,"['targetApp', 'eventType']",2
30,1.0,0.1,0.18181818181818182,1.0,"[(54, 31), (164, 31), (220, 31), (276, 31), (443, 30), (498, 31), (554, 31), (664, 31), (720, 31), (833, 31)]","{834, 165, 555, 721, 499, 277, 55, 665, 443, 221}",10,"['targetApp', 'eventType', 'url']",3
30,1.0,0.1,0.18181818181818182,1.0,"[(54, 31), (164, 31), (220, 31), (276, 31), (443, 30), (498, 31), (554, 31), (664, 31), (720, 31), (833, 31)]","{834, 165, 555, 721, 499, 277, 55, 665, 443, 221}",10,"['targetApp', 'eventType', 'url', 'target.workbookName']",4
30,1.0,0.1,0.18181818181818182,1.0,"[(54, 31), (164, 31), (220, 31), (276, 31), (386, 32), (498, 31), (554, 31), (664, 31), (720, 31), (833, 31)]","{833, 386, 164, 554, 720, 498, 276, 54, 664, 220}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName']",5
30,1.0,0.1,0.18181818181818182,1.0,"[(3134, 62), (3221, 62), (3396, 62), (3483, 62), (3744, 62), (3831, 62), (4005, 62), (4356, 62), (4443, 64), (5141, 62)]","{3427, 4387, 4036, 3252, 5172, 3862, 3514, 4476, 3165, 3775}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id']",6
30,1.0,0.1,0.18181818181818182,1.0,"[(3134, 62), (3221, 62), (3396, 62), (3483, 62), (3744, 62), (3831, 62), (4005, 62), (4356, 62), (4443, 64), (5141, 62)]","{3427, 4387, 4036, 3252, 5172, 3862, 3514, 4476, 3165, 3775}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class']",7
30,1.0,0.1,0.18181818181818182,1.0,"[(2960, 62), (3047, 62), (3396, 62), (3657, 62), (3744, 62), (3918, 62), (4269, 62), (4356, 62), (4880, 62), (5141, 62)]","{3427, 4387, 3078, 3688, 4300, 3949, 4911, 2991, 5172, 3775}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName']",8
30,1.0,0.1,0.18181818181818182,1.0,"[(3134, 62), (3221, 62), (3918, 62), (4182, 62), (4443, 64), (4706, 62), (5054, 62), (5141, 62), (5578, 62), (6100, 62)]","{4737, 5609, 3949, 5085, 6131, 3252, 5172, 4213, 4476, 3165}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type']",9
30,1.0,0.1,0.18181818181818182,1.0,"[(2787, 61), (2960, 62), (3047, 62), (3134, 62), (3396, 62), (3483, 62), (3744, 62), (4092, 65), (4532, 62), (4880, 62)]","{2817, 3427, 3078, 4911, 2991, 4563, 3514, 3165, 4126, 3775}",10,"['targetApp', 'eventType', 'url', 'target.workbookName', 'target.sheetName', 'target.id', 'target.class', 'target.tagName', 'target.type', 'target.name']",10
