window_size,precision,recall,f1_score,mean_coverage,discovered_indexes,discovered_motif_spots,motif_count
30,1.0,0.1,0.18181818181818182,1.0,"{(1507, 61), (793, 61), (1934, 61), (364, 61), (650, 61), (2936, 61), (507, 61), (3934, 61), (2597, 88), (2451, 93)}","{1537, 680, 394, 1964, 2513, 2966, 823, 537, 3964, 2654}",10
30,1.0,0.2,0.33333333333333337,1.0,"{(1791, 61), (1648, 61), (1507, 61), (1934, 61), (1364, 61), (2365, 61), (364, 61), (223, 61), (650, 61), (507, 61), (3934, 61), (3223, 61), (793, 61), (2078, 61), (1021, 92), (2451, 93), (2221, 64), (5797, 61), (2936, 61), (2597, 88)}","{1537, 394, 1678, 2966, 537, 1821, 680, 1964, 3253, 823, 1082, 2108, 5827, 2254, 2513, 2395, 2654, 1394, 3964, 253}",20
30,1.0,0.3,0.4615384615384615,1.0,"{(1791, 61), (1648, 61), (1507, 61), (1934, 61), (1364, 61), (2365, 61), (3648, 61), (4077, 61), (364, 61), (223, 61), (650, 61), (3791, 61), (507, 61), (80, 61), (3507, 61), (3934, 61), (3223, 61), (3366, 61), (793, 61), (2078, 61), (5368, 61), (1021, 92), (2451, 93), (2221, 64), (5797, 61), (4220, 63), (2936, 61), (1221, 61), (2597, 88), (4795, 61)}","{1537, 394, 4107, 1678, 2966, 5398, 537, 4252, 1821, 680, 1964, 3253, 823, 1082, 2108, 5827, 3396, 2254, 2513, 3537, 4825, 2395, 2654, 3678, 1251, 3821, 110, 1394, 3964, 253}",30
30,1.0,0.4,0.5714285714285715,1.0,"{(1791, 61), (1648, 61), (1507, 61), (1934, 61), (1364, 61), (2365, 61), (4652, 61), (4509, 61), (3648, 61), (6657, 61), (6513, 62), (3080, 61), (4077, 61), (364, 61), (223, 61), (650, 61), (3791, 61), (507, 61), (80, 61), (3507, 61), (3934, 61), (3223, 61), (3366, 61), (793, 61), (5940, 62), (2078, 61), (6084, 61), (6227, 61), (5368, 61), (1021, 92), (2451, 93), (2221, 64), (5797, 61), (2793, 61), (4220, 63), (4795, 61), (2936, 61), (1221, 61), (2597, 88), (4366, 61)}","{1537, 2823, 394, 4107, 1678, 6544, 2966, 5398, 537, 4252, 1821, 6687, 3110, 680, 1964, 4396, 3253, 823, 1082, 4539, 2108, 5827, 3396, 4682, 2254, 2513, 3537, 5971, 4825, 2395, 2654, 3678, 6114, 1251, 3821, 110, 6257, 1394, 3964, 253}",40
30,1.0,0.5,0.6666666666666666,1.0,"{(1791, 61), (1648, 61), (1507, 61), (934, 62), (1934, 61), (1364, 61), (6800, 61), (2365, 61), (6943, 61), (4652, 61), (4509, 61), (4938, 61), (3648, 61), (6657, 61), (6513, 62), (3080, 61), (4077, 61), (364, 61), (223, 61), (650, 61), (3791, 61), (507, 61), (80, 61), (3507, 61), (3934, 61), (6370, 61), (3223, 61), (3366, 61), (793, 61), (7029, 90), (2078, 61), (5940, 62), (6084, 61), (6227, 61), (5368, 61), (5225, 61), (1021, 92), (2221, 64), (2451, 93), (5797, 61), (2793, 61), (4220, 63), (5511, 61), (4795, 61), (5082, 61), (2936, 61), (5654, 61), (1221, 61), (2597, 88), (4366, 61)}","{6400, 1537, 5255, 2823, 394, 4107, 1678, 6544, 2966, 5398, 537, 4252, 1821, 6687, 5541, 3110, 680, 1964, 4396, 6830, 7084, 5684, 3253, 823, 1082, 4539, 2108, 6973, 955, 5827, 3396, 4682, 2254, 2513, 3537, 5971, 4825, 2395, 2654, 3678, 6114, 1251, 4968, 3821, 110, 6257, 1394, 5112, 3964, 253}",50
30,1.0,0.6,0.7499999999999999,0.975,"{(1791, 61), (1648, 61), (1507, 61), (934, 62), (1934, 61), (1364, 61), (6800, 61), (2365, 61), (6943, 61), (4652, 61), (4509, 61), (4938, 61), (2020, 33), (3648, 61), (6657, 61), (6513, 62), (3080, 61), (4077, 61), (5454, 32), (364, 61), (1877, 32), (223, 61), (650, 61), (2310, 30), (507, 61), (3791, 61), (3507, 61), (80, 61), (3452, 30), (6370, 61), (3223, 61), (3934, 61), (3366, 61), (1307, 32), (309, 30), (793, 61), (7029, 90), (2078, 61), (5940, 62), (6084, 61), (6227, 61), (5368, 61), (5225, 61), (1021, 92), (2221, 64), (3877, 32), (2451, 93), (5797, 61), (2793, 61), (4220, 63), (5511, 61), (4795, 61), (593, 32), (5082, 61), (6170, 32), (2936, 61), (5654, 61), (1221, 61), (2597, 88), (4366, 61)}","{6400, 1537, 2305, 5255, 2823, 394, 4107, 1678, 6544, 6165, 2966, 5398, 1302, 537, 4252, 1821, 6687, 3872, 5541, 3110, 680, 1964, 4396, 6830, 7084, 304, 5684, 3253, 823, 1082, 4539, 2108, 6973, 955, 5827, 3396, 5449, 4682, 588, 2254, 1872, 2513, 3537, 5971, 4825, 2395, 2654, 3678, 6114, 1251, 2021, 4968, 3821, 110, 6257, 1394, 3447, 5112, 3964, 253}",60
30,1.0,0.7,0.8235294117647058,0.9547619047619049,"{(1791, 61), (2164, 32), (1648, 61), (1507, 61), (934, 62), (1934, 61), (1364, 61), (223, 61), (6800, 61), (2365, 61), (6943, 61), (4652, 61), (4509, 61), (4938, 61), (2020, 33), (3648, 61), (6657, 61), (6513, 62), (3080, 61), (4077, 61), (1450, 32), (364, 61), (5454, 32), (1877, 32), (650, 61), (2310, 30), (507, 61), (3791, 61), (3507, 61), (80, 61), (3452, 30), (6370, 61), (3223, 61), (4595, 32), (3934, 61), (3366, 61), (4738, 32), (879, 30), (1307, 32), (309, 30), (793, 61), (7029, 90), (2078, 61), (5940, 62), (6084, 61), (6227, 61), (6600, 32), (4881, 32), (5368, 61), (5225, 61), (1021, 92), (2221, 64), (3877, 32), (2451, 93), (5797, 61), (2793, 61), (4220, 63), (736, 32), (5511, 61), (4795, 61), (6313, 32), (593, 32), (6170, 32), (2936, 61), (5654, 61), (1221, 61), (5082, 61), (2597, 88), (4366, 61)}","{6400, 1537, 2305, 2823, 5255, 394, 4107, 4876, 1678, 6544, 6165, 2966, 5398, 1302, 537, 4252, 1821, 6687, 3872, 6308, 5541, 3110, 1445, 680, 1964, 4396, 6830, 7084, 304, 5684, 3253, 823, 1082, 4539, 2108, 6973, 955, 5827, 3396, 6595, 5449, 4682, 588, 2254, 1872, 2513, 3537, 5971, 4825, 2395, 731, 5112, 2654, 3678, 6114, 1251, 2021, 4968, 874, 3821, 110, 2159, 4590, 6257, 1394, 3447, 1016, 253, 3964, 4733}",70
30,1.0,0.8,0.888888888888889,0.9395833333333332,"{(1507, 61), (1934, 61), (6800, 61), (5311, 32), (6657, 61), (4077, 61), (223, 61), (650, 61), (2310, 30), (3593, 30), (3507, 61), (3934, 61), (6370, 61), (4595, 32), (3366, 61), (879, 30), (6227, 61), (2221, 64), (6027, 32), (5511, 61), (593, 32), (4163, 32), (2164, 32), (1648, 61), (934, 62), (2365, 61), (4509, 61), (2020, 33), (3648, 61), (3080, 61), (5454, 32), (364, 61), (309, 30), (793, 61), (5940, 62), (2078, 61), (6886, 32), (4220, 63), (1221, 61), (4795, 61), (1791, 61), (2879, 32), (6943, 61), (4652, 61), (1450, 32), (1877, 32), (3791, 61), (3223, 61), (4738, 32), (1307, 32), (6084, 61), (5225, 61), (2451, 93), (3877, 32), (5797, 61), (3309, 32), (2793, 61), (5082, 61), (6170, 32), (5654, 61), (2936, 61), (2597, 88), (1364, 61), (4938, 61), (1593, 30), (6513, 62), (80, 61), (507, 61), (3452, 30), (7029, 90), (6600, 32), (4881, 32), (5368, 61), (1021, 92), (3734, 32), (736, 32), (6313, 32), (4366, 61)}","{1537, 3588, 4107, 6165, 537, 6687, 3110, 5684, 1588, 1082, 2108, 4158, 4682, 588, 2654, 3678, 110, 2159, 6257, 4733, 5255, 1678, 3729, 4252, 6308, 680, 6830, 3253, 5306, 5827, 2254, 4825, 731, 6881, 1251, 3304, 3821, 253, 6400, 2305, 2823, 4876, 5398, 1302, 1821, 3872, 4396, 304, 823, 2874, 6973, 3396, 5449, 1872, 5971, 2395, 4968, 874, 7024, 1394, 3447, 3964, 6022, 394, 6544, 2966, 5541, 1445, 1964, 7084, 4539, 955, 6595, 2513, 3537, 1016, 6114, 2021, 4590, 5112}",80
30,1.0,0.9,0.9473684210526316,0.9277777777777778,"{(1507, 61), (1934, 61), (6800, 61), (5311, 32), (6657, 61), (4077, 61), (1734, 32), (223, 61), (650, 61), (2310, 30), (3593, 30), (3507, 61), (3934, 61), (6370, 61), (4595, 32), (3366, 61), (879, 30), (6227, 61), (4452, 32), (2221, 64), (6027, 32), (5511, 61), (166, 32), (593, 32), (4163, 32), (2164, 32), (1648, 61), (6456, 32), (934, 62), (2365, 61), (4509, 61), (2020, 33), (5597, 32), (3648, 61), (3080, 61), (5454, 32), (364, 61), (309, 30), (793, 61), (5940, 62), (2078, 61), (6886, 32), (4220, 63), (1221, 61), (4795, 61), (1791, 61), (2879, 32), (6943, 61), (5168, 32), (4652, 61), (5740, 32), (1450, 32), (1877, 32), (3791, 61), (3223, 61), (4738, 32), (1307, 32), (6084, 61), (5225, 61), (2451, 93), (3877, 32), (5797, 61), (3309, 32), (2793, 61), (450, 32), (5082, 61), (6170, 32), (5654, 61), (2936, 61), (3166, 32), (2597, 88), (1364, 61), (4938, 61), (1593, 30), (6513, 62), (80, 61), (507, 61), (3452, 30), (7029, 90), (6600, 32), (4881, 32), (5368, 61), (1021, 92), (4020, 32), (3734, 32), (736, 32), (6313, 32), (4366, 61)}","{1537, 3588, 4107, 6165, 537, 6687, 3110, 5163, 5684, 1588, 1082, 2108, 4158, 4682, 588, 3161, 2654, 3678, 5735, 110, 2159, 6257, 4733, 5255, 1678, 3729, 4252, 161, 6308, 680, 6830, 3253, 5306, 1729, 5827, 2254, 4825, 731, 6881, 1251, 3304, 3821, 253, 6400, 2305, 2823, 4876, 5398, 1302, 1821, 3872, 4396, 304, 6451, 823, 2874, 6973, 3396, 5449, 1872, 5971, 2395, 4447, 4968, 874, 7024, 1394, 3447, 3964, 6022, 394, 6544, 2966, 5541, 1445, 1964, 7084, 4015, 4539, 955, 445, 6595, 2513, 3537, 5592, 1016, 6114, 2021, 4590, 5112}",90
30,0.91,0.91,0.91,0.9267399267399266,"{(1507, 61), (1934, 61), (6800, 61), (5311, 32), (6657, 61), (4077, 61), (1734, 32), (223, 61), (650, 61), (2310, 30), (3593, 30), (3507, 61), (3934, 61), (6370, 61), (4595, 32), (3366, 61), (879, 30), (6743, 32), (6227, 61), (4452, 32), (2221, 64), (6027, 32), (5511, 61), (166, 32), (593, 32), (4163, 32), (2164, 32), (1648, 61), (6456, 32), (934, 62), (2365, 61), (4509, 61), (2020, 33), (5597, 32), (3648, 61), (3080, 61), (5454, 32), (364, 61), (309, 30), (793, 61), (5940, 62), (2078, 61), (6886, 32), (4220, 63), (1221, 61), (4795, 61), (1791, 61), (2879, 32), (6943, 61), (5168, 32), (4652, 61), (5740, 32), (1450, 32), (1877, 32), (3791, 61), (3223, 61), (4738, 32), (1307, 32), (6084, 61), (5225, 61), (2451, 93), (3877, 32), (5797, 61), (3309, 32), (2793, 61), (450, 32), (5082, 61), (6170, 32), (5654, 61), (2936, 61), (3166, 32), (2597, 88), (1364, 61), (4938, 61), (1593, 30), (6513, 62), (80, 61), (507, 61), (3452, 30), (7029, 90), (6600, 32), (4881, 32), (5368, 61), (1021, 92), (4020, 32), (3734, 32), (736, 32), (6313, 32), (4366, 61)}","{1537, 3588, 4107, 6165, 537, 6687, 3110, 5163, 5684, 1588, 1082, 2108, 4158, 4682, 588, 6738, 3161, 2654, 3678, 5735, 110, 2159, 6257, 4733, 5255, 1678, 3729, 4252, 161, 6308, 680, 6830, 3253, 5306, 1729, 5827, 2254, 4825, 731, 6881, 1251, 3304, 3821, 253, 6400, 2305, 2823, 4876, 5398, 1302, 1821, 3872, 4396, 304, 6451, 823, 2874, 6973, 3396, 5449, 1872, 5971, 2395, 4447, 4968, 874, 7024, 1394, 3447, 3964, 6022, 394, 6544, 2966, 5541, 1445, 1964, 7084, 4015, 4539, 955, 445, 6595, 2513, 3537, 5592, 1016, 6114, 2021, 4590, 5112}",100
