window_size,precision,recall,f1_score,mean_coverage,discovered_indexes,discovered_motif_spots,motif_count
30,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (5228, 62), (3657, 62), (3744, 62), (4880, 62), (3134, 62), (3047, 62), (3483, 62), (4269, 62), (5141, 62)}","{3078, 3688, 5259, 4300, 4911, 5172, 4824, 3514, 3165, 3775}",10
30,1.0,0.2,0.33333333333333337,1.0,"{(5054, 62), (5228, 62), (2873, 62), (4880, 62), (4092, 65), (4356, 62), (3744, 62), (3396, 62), (3134, 62), (2787, 61), (2960, 62), (3831, 62), (4269, 62), (5141, 62), (4793, 62), (4005, 62), (3657, 62), (5752, 62), (3483, 62), (3047, 62)}","{2817, 3078, 5259, 3862, 5783, 4126, 4387, 4911, 2991, 5172, 3514, 3775, 4036, 4300, 4824, 2904, 3165, 5085, 3427, 3688}",20
30,1.0,0.3,0.4615384615384615,1.0,"{(5054, 62), (5228, 62), (2873, 62), (4880, 62), (3047, 62), (3918, 62), (4092, 65), (4356, 62), (3570, 62), (3744, 62), (3396, 62), (3134, 62), (2787, 61), (5665, 62), (4967, 62), (5491, 62), (2960, 62), (3831, 62), (4269, 62), (5141, 62), (4793, 62), (6274, 62), (6100, 62), (4005, 62), (3657, 62), (5315, 64), (5752, 62), (3483, 62), (3221, 62), (5926, 62)}","{2817, 4998, 3078, 5259, 3601, 5522, 3862, 5783, 4126, 6305, 4387, 4911, 2991, 5172, 3252, 3514, 3775, 5696, 4036, 5957, 4300, 2904, 4824, 5085, 3165, 3427, 5348, 3688, 3949, 6131}",30
30,1.0,0.4,0.5714285714285715,1.0,"{(5578, 62), (5054, 62), (5228, 62), (2873, 62), (4880, 62), (3047, 62), (3918, 62), (4532, 62), (5404, 62), (6449, 62), (4092, 65), (6187, 62), (4706, 62), (4356, 62), (4182, 62), (3570, 62), (3744, 62), (6710, 63), (3396, 62), (3134, 62), (6013, 62), (2787, 61), (5665, 62), (4967, 62), (5491, 62), (2960, 62), (3831, 62), (4269, 62), (5141, 62), (6798, 62), (4793, 62), (6274, 62), (6100, 62), (4005, 62), (3657, 62), (5315, 64), (5752, 62), (3483, 62), (3221, 62), (5926, 62)}","{2817, 4737, 4998, 3078, 5259, 3601, 5522, 3862, 5783, 6044, 4126, 6305, 4387, 6829, 4911, 2991, 5172, 3252, 3514, 5435, 3775, 5696, 4036, 5957, 6218, 4300, 6480, 4563, 6742, 2904, 4824, 5085, 3165, 3427, 5348, 3688, 5609, 3949, 6131, 4213}",40
30,1.0,0.5,0.6666666666666666,1.0,"{(5578, 62), (5054, 62), (5228, 62), (3221, 62), (4880, 62), (2873, 62), (4443, 64), (3918, 62), (4532, 62), (5404, 62), (3308, 63), (6885, 62), (6449, 62), (6623, 62), (4092, 65), (6187, 62), (4706, 62), (4356, 62), (5839, 62), (4182, 62), (3570, 62), (3744, 62), (6710, 63), (3396, 62), (3134, 62), (6013, 62), (2787, 61), (5665, 62), (4967, 62), (5491, 62), (2960, 62), (3831, 62), (4269, 62), (7059, 60), (5141, 62), (6798, 62), (6972, 62), (6536, 62), (4793, 62), (6274, 62), (6100, 62), (4005, 62), (4619, 62), (3657, 62), (5315, 64), (5752, 62), (3483, 62), (6361, 63), (3047, 62), (5926, 62)}","{2817, 4737, 3330, 6916, 3078, 4998, 5259, 3601, 5522, 3862, 5783, 6044, 4126, 6305, 4387, 6567, 4650, 7084, 6829, 4911, 2991, 5172, 3252, 3514, 5435, 3775, 5696, 4036, 5957, 6218, 4300, 6480, 4563, 6742, 2904, 4824, 7003, 5085, 3165, 3427, 5348, 3688, 5609, 3949, 5870, 6131, 4213, 6393, 4476, 6654}",50
30,0.9833333333333333,0.59,0.7374999999999999,0.9728813559322034,"{(5578, 62), (5054, 62), (5228, 62), (2059, 31), (3221, 62), (4880, 62), (1108, 31), (2873, 62), (110, 29), (4443, 64), (3918, 62), (4532, 62), (5404, 62), (3308, 63), (610, 29), (6885, 62), (6449, 62), (6623, 62), (4092, 65), (6187, 62), (2171, 31), (4706, 62), (4356, 62), (5839, 62), (4182, 62), (3570, 62), (3744, 62), (720, 31), (6710, 63), (3396, 62), (3134, 62), (6013, 62), (2787, 61), (5665, 62), (4967, 62), (5491, 62), (2960, 62), (3831, 62), (4269, 62), (7059, 60), (5141, 62), (6798, 62), (6972, 62), (776, 32), (6536, 62), (4793, 62), (6274, 62), (6100, 62), (4005, 62), (2731, 31), (4619, 62), (1778, 31), (3657, 62), (5315, 64), (5752, 62), (3483, 62), (6361, 63), (3047, 62), (5926, 62)}","{2817, 4737, 3330, 6916, 2053, 3078, 4998, 776, 5259, 3601, 5522, 3862, 5783, 6044, 4126, 6305, 4387, 2725, 6567, 4650, 7084, 6829, 4911, 2991, 5172, 3252, 3514, 5435, 3775, 5696, 4036, 5957, 6218, 714, 4300, 1102, 6480, 4563, 6742, 2904, 4824, 7003, 604, 5085, 3165, 3427, 5348, 3688, 5609, 104, 1772, 3949, 5870, 6131, 4213, 2165, 6393, 4476, 6654}",60
30,0.9714285714285714,0.68,0.8,0.95,"{(5578, 62), (5054, 62), (5228, 62), (2059, 31), (3221, 62), (4880, 62), (54, 31), (1108, 31), (2873, 62), (110, 29), (3918, 62), (4532, 62), (4443, 64), (5404, 62), (3308, 63), (610, 29), (6885, 62), (6449, 62), (6623, 62), (4092, 65), (6187, 62), (2171, 31), (4706, 62), (4356, 62), (5839, 62), (4182, 62), (3570, 62), (3744, 62), (332, 29), (720, 31), (1497, 31), (6710, 63), (1609, 31), (3396, 62), (3134, 62), (1277, 31), (6013, 62), (2787, 61), (5665, 62), (4967, 62), (5491, 62), (2960, 62), (2115, 31), (3831, 62), (4269, 62), (7059, 60), (5141, 62), (6798, 62), (6972, 62), (776, 32), (6536, 62), (4793, 62), (6274, 62), (6100, 62), (4005, 62), (2731, 31), (4619, 62), (1778, 31), (386, 32), (3657, 62), (5315, 64), (5752, 62), (554, 31), (3483, 62), (6361, 63), (3047, 62), (164, 31), (5926, 62)}","{2817, 4737, 3330, 6916, 2053, 3078, 4998, 776, 5259, 3601, 5522, 3862, 5783, 6044, 158, 4126, 6305, 4387, 548, 2725, 6567, 4650, 7084, 6829, 4911, 2991, 48, 5172, 3252, 3514, 5435, 2109, 3775, 5696, 1603, 4036, 5957, 326, 6218, 714, 4300, 1102, 6480, 4563, 1491, 6742, 2904, 4824, 7003, 604, 5085, 3165, 3427, 5348, 3688, 5609, 104, 1772, 3949, 5870, 6131, 4213, 2165, 1271, 4476, 6393, 380, 6654}",70
30,0.975,0.78,0.8666666666666667,0.9307692307692307,"{(5228, 62), (833, 31), (54, 31), (110, 29), (1722, 31), (4443, 64), (4356, 62), (3744, 62), (6710, 63), (1277, 31), (5665, 62), (4793, 62), (3657, 62), (5752, 62), (3221, 62), (5578, 62), (4880, 62), (1108, 31), (2675, 31), (610, 29), (4092, 65), (2171, 31), (3570, 62), (3396, 62), (1497, 31), (3134, 62), (7059, 60), (6274, 62), (1778, 31), (386, 32), (3047, 62), (164, 31), (276, 31), (1387, 29), (4532, 62), (5404, 62), (6449, 62), (6187, 62), (4706, 62), (332, 29), (2787, 61), (5491, 62), (2960, 62), (1221, 31), (6972, 62), (6100, 62), (4619, 62), (2731, 31), (5315, 64), (3483, 62), (6361, 63), (1553, 31), (5054, 62), (2059, 31), (2873, 62), (3918, 62), (3308, 63), (6885, 62), (6623, 62), (4182, 62), (2283, 31), (5839, 62), (720, 31), (1609, 31), (6013, 62), (4967, 62), (2115, 31), (3831, 62), (4269, 62), (5141, 62), (6798, 62), (2619, 31), (776, 32), (6536, 62), (4005, 62), (554, 31), (664, 31), (5926, 62)}","{2053, 3078, 1547, 3601, 4126, 548, 4650, 48, 5172, 2613, 2109, 5696, 1603, 6218, 1102, 6742, 604, 3165, 3688, 104, 2669, 4213, 2165, 4737, 5259, 658, 5783, 158, 6305, 2725, 6829, 3252, 1716, 3775, 1215, 714, 4300, 4824, 5348, 2277, 1772, 5870, 1271, 6393, 2817, 3330, 6916, 776, 270, 3862, 4387, 4911, 5435, 827, 5957, 326, 6480, 2904, 7003, 3427, 1381, 3949, 4476, 380, 4998, 5522, 6044, 6567, 7084, 2991, 3514, 4036, 4563, 1491, 5085, 5609, 6131, 6654}",80
30,0.9666666666666667,0.87,0.9157894736842105,0.9172413793103447,"{(2451, 31), (5228, 62), (833, 31), (54, 31), (110, 29), (1722, 31), (4443, 64), (4356, 62), (3744, 62), (6710, 63), (1277, 31), (2507, 31), (5665, 62), (4793, 62), (3657, 62), (1441, 31), (5752, 62), (3221, 62), (5578, 62), (4880, 62), (1108, 31), (2675, 31), (610, 29), (4092, 65), (2171, 31), (3570, 62), (3396, 62), (1497, 31), (3134, 62), (2227, 31), (7059, 60), (6274, 62), (1778, 31), (386, 32), (3047, 62), (164, 31), (1834, 31), (276, 31), (1387, 29), (4532, 62), (5404, 62), (6449, 62), (6187, 62), (4706, 62), (889, 29), (332, 29), (2395, 31), (2787, 61), (5491, 62), (2960, 62), (1221, 31), (6972, 62), (6100, 62), (4619, 62), (2731, 31), (5315, 64), (3483, 62), (6361, 63), (1553, 31), (5054, 62), (2059, 31), (2873, 62), (3918, 62), (3308, 63), (6885, 62), (6623, 62), (4182, 62), (2283, 31), (5839, 62), (720, 31), (1609, 31), (6013, 62), (1333, 29), (4967, 62), (2115, 31), (220, 31), (3831, 62), (4269, 62), (5141, 62), (6798, 62), (2619, 31), (776, 32), (6536, 62), (4005, 62), (554, 31), (664, 31), (5926, 62)}","{2053, 3078, 1547, 3601, 4126, 548, 4650, 48, 5172, 2613, 2109, 5696, 1603, 6218, 1102, 6742, 604, 3165, 3688, 104, 2669, 4213, 2165, 4737, 5259, 658, 5783, 158, 6305, 2725, 6829, 2221, 3252, 1716, 3775, 1215, 714, 4300, 214, 4824, 5348, 2277, 1772, 5870, 1271, 6393, 2817, 3330, 6916, 776, 270, 3862, 4387, 1828, 4911, 1327, 5435, 827, 5957, 326, 6480, 2389, 2904, 7003, 3427, 1381, 3949, 883, 4476, 380, 4998, 2445, 5522, 1435, 6044, 6567, 7084, 2991, 3514, 4036, 2501, 4563, 1491, 5085, 5609, 6131, 6654}",90
30,0.93,0.93,0.93,0.9096774193548387,"{(2451, 31), (5228, 62), (833, 31), (54, 31), (110, 29), (1722, 31), (4443, 64), (4356, 62), (3744, 62), (6710, 63), (1277, 31), (2507, 31), (943, 33), (5665, 62), (2003, 31), (4793, 62), (3657, 62), (1441, 31), (5752, 62), (3221, 62), (5578, 62), (4880, 62), (1108, 31), (2675, 31), (610, 29), (4092, 65), (2171, 31), (3570, 62), (3396, 62), (1497, 31), (3134, 62), (2227, 31), (7059, 60), (6274, 62), (1778, 31), (386, 32), (2339, 31), (3047, 62), (164, 31), (2563, 31), (1834, 31), (276, 31), (1387, 29), (4532, 62), (5404, 62), (498, 31), (6449, 62), (6187, 62), (4706, 62), (889, 29), (332, 29), (2395, 31), (2787, 61), (5491, 62), (2960, 62), (1221, 31), (6972, 62), (6100, 62), (4619, 62), (2731, 31), (5315, 64), (3483, 62), (6361, 63), (1553, 31), (5054, 62), (2059, 31), (2873, 62), (3918, 62), (3308, 63), (6885, 62), (6623, 62), (4182, 62), (2283, 31), (5839, 62), (720, 31), (1609, 31), (6013, 62), (1333, 29), (4967, 62), (2115, 31), (220, 31), (3831, 62), (4269, 62), (5141, 62), (6798, 62), (2619, 31), (776, 32), (6536, 62), (4005, 62), (1890, 31), (554, 31), (664, 31), (5926, 62)}","{2053, 3078, 1547, 3601, 4126, 548, 4650, 48, 5172, 2613, 2109, 5696, 1603, 6218, 1102, 6742, 604, 3165, 3688, 104, 2669, 4213, 2165, 4737, 5259, 658, 5783, 158, 6305, 2725, 6829, 2221, 3252, 1716, 3775, 1215, 714, 4300, 214, 4824, 5348, 2277, 1772, 5870, 1271, 6393, 2817, 3330, 6916, 776, 270, 3862, 2333, 4387, 1828, 4911, 1327, 5435, 827, 5957, 326, 6480, 2389, 2904, 7003, 1884, 3427, 1381, 3949, 883, 4476, 380, 4998, 2445, 5522, 1435, 6044, 6567, 937, 7084, 2991, 3514, 4036, 2501, 1997, 4563, 1491, 5085, 5609, 492, 6131, 2557, 6654}",100
