experiment_index,window_size,to_discover_motif_count,num_clusters,discovered_total_motifs,cluster_purity,cluster_details
30_10,30,10,1,10,0.8,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.8, 'cluster_size': 10, 'matched_motifs': 10, 'matched_lengths': [61, 61, 61, 61, 93, 61, 61, 61, 61, 88]}]"
30_50,30,50,1,50,0.92,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.92, 'cluster_size': 50, 'matched_motifs': 50, 'matched_lengths': [61, 61, 61, 61, 61, 61, 61, 62, 61, 61, 61, 63, 61, 61, 61, 61, 61, 61, 61, 61, 90, 61, 61, 61, 92, 61, 61, 61, 62, 61, 61, 61, 64, 93, 61, 62, 61, 61, 88, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61]}]"
30_70,30,70,2,70,0.857,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.821, 'cluster_size': 56, 'matched_motifs': 56, 'matched_lengths': [61, 61, 30, 61, 61, 61, 61, 61, 62, 61, 61, 61, 63, 61, 61, 32, 61, 61, 61, 61, 61, 61, 90, 61, 61, 61, 92, 61, 61, 61, 62, 61, 61, 32, 61, 64, 93, 61, 62, 61, 92, 61, 88, 61, 61, 61, 33, 61, 61, 61, 32, 61, 61, 61, 61, 61]}, {'cluster_id': 0, 'dominant_label': 'SR', 'purity': 1.0, 'cluster_size': 14, 'matched_motifs': 14, 'matched_lengths': [32, 32, 32, 32, 32, 32, 30, 32, 32, 32, 32, 30, 32, 30]}]"
30_100,30,100,2,91,0.89,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.836, 'cluster_size': 55, 'matched_motifs': 55, 'matched_lengths': [61, 61, 61, 61, 61, 61, 92, 61, 61, 88, 61, 61, 61, 61, 61, 61, 63, 61, 61, 61, 61, 64, 61, 61, 61, 61, 61, 61, 61, 61, 61, 32, 61, 32, 61, 61, 62, 61, 61, 61, 61, 61, 62, 61, 61, 61, 90, 61, 62, 32, 93, 61, 61, 33, 92]}, {'cluster_id': 0, 'dominant_label': 'SR', 'purity': 0.972, 'cluster_size': 36, 'matched_motifs': 36, 'matched_lengths': [30, 32, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 30, 32, 32, 32, 30, 32, 32, 32, 30, 90, 30, 32, 32, 32, 32, 32, 32]}]"
40_10,40,10,1,10,0.6,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.6, 'cluster_size': 10, 'matched_motifs': 4, 'matched_lengths': [93, 90, 92, 88]}]"
40_50,40,50,3,50,0.9,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.891, 'cluster_size': 46, 'matched_motifs': 5, 'matched_lengths': [90, 92, 1, 93, 88]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}]"
40_70,40,70,3,51,0.902,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.889, 'cluster_size': 45, 'matched_motifs': 5, 'matched_lengths': [90, 92, 1, 93, 88]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 4, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}]"
40_100,40,100,3,51,0.902,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.889, 'cluster_size': 45, 'matched_motifs': 5, 'matched_lengths': [90, 92, 1, 93, 88]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 4, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}]"
50_10,50,10,1,10,0.7,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.7, 'cluster_size': 10, 'matched_motifs': 3, 'matched_lengths': [28, 90, 92]}]"
50_50,50,50,3,50,0.92,"[{'cluster_id': -1, 'dominant_label': 'Unknown', 'purity': 0.913, 'cluster_size': 46, 'matched_motifs': 4, 'matched_lengths': [30, 93, 88, 28]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Other', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 2, 'matched_lengths': [90, 92]}]"
