experiment_index,window_size,to_discover_motif_count,num_clusters,discovered_total_motifs,cluster_purity,cluster_details
30_10,30,10,1,10,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 10, 'matched_motifs': 10, 'matched_lengths': [62, 62, 62, 62, 62, 62, 62, 62, 62, 62]}]"
30_50,30,50,1,50,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 50, 'matched_motifs': 50, 'matched_lengths': [61, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 63, 64, 62]}]"
30_70,30,70,2,70,0.929,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.943, 'cluster_size': 53, 'matched_motifs': 53, 'matched_lengths': [61, 62, 63, 62, 62, 62, 32, 62, 62, 62, 62, 62, 62, 65, 62, 62, 31, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 64, 62, 62, 29, 62, 62, 62, 62, 63, 64, 62]}, {'cluster_id': 0, 'dominant_label': 'SR', 'purity': 0.882, 'cluster_size': 17, 'matched_motifs': 15, 'matched_lengths': [31, 31, 31, 31, 31, 31, 29, 31, 31, 31, 29, 31, 31, 31, 32]}]"
30_100,30,100,2,96,0.906,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.893, 'cluster_size': 56, 'matched_motifs': 56, 'matched_lengths': [62, 62, 65, 31, 62, 62, 62, 62, 63, 62, 62, 29, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 31, 62, 63, 61, 63, 62, 32, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 29, 64, 62, 62, 62, 62, 33, 60, 62, 62, 62, 62, 62, 62, 62, 62]}, {'cluster_id': 0, 'dominant_label': 'SR', 'purity': 0.925, 'cluster_size': 40, 'matched_motifs': 37, 'matched_lengths': [31, 31, 31, 31, 31, 31, 31, 29, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 29, 31, 29, 31, 31, 29, 32, 31, 31, 31, 31, 31, 31, 31]}]"
40_10,40,10,1,10,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 10, 'matched_motifs': 10, 'matched_lengths': [62, 62, 62, 62, 62, 62, 62, 61, 62, 62]}]"
40_50,40,50,1,50,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 50, 'matched_motifs': 50, 'matched_lengths': [62, 63, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 63, 64, 62, 61, 62, 62]}]"
40_70,40,70,3,70,0.957,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.943, 'cluster_size': 53, 'matched_motifs': 50, 'matched_lengths': [62, 63, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 63, 64, 62, 61, 62, 62]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 15, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}]"
40_100,40,100,3,96,0.917,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 0.862, 'cluster_size': 58, 'matched_motifs': 50, 'matched_lengths': [62, 65, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 63, 61, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62]}, {'cluster_id': 0, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 36, 'matched_motifs': 0, 'matched_lengths': []}, {'cluster_id': 1, 'dominant_label': 'Unknown', 'purity': 1.0, 'cluster_size': 2, 'matched_motifs': 0, 'matched_lengths': []}]"
50_10,50,10,1,10,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 10, 'matched_motifs': 10, 'matched_lengths': [62, 62, 62, 62, 62, 65, 62, 61, 62, 62]}]"
50_50,50,50,1,50,1.0,"[{'cluster_id': -1, 'dominant_label': 'RT', 'purity': 1.0, 'cluster_size': 50, 'matched_motifs': 50, 'matched_lengths': [62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 63, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 63, 64, 62, 61, 62, 62, 62, 62, 62, 62, 62]}]"
