window_size,precision,recall,f1_score,mean_coverage,discovered_indexes,discovered_motif_spots,motif_count
26,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4182, 62), (4356, 62), (3657, 62), (3570, 62), (4880, 62), (3134, 62), (3396, 62), (4269, 62)}","{3425, 4385, 3686, 4298, 4909, 3599, 4211, 4822, 3163, 2815}",10
27,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (5228, 62), (3744, 62), (4880, 62), (3134, 62), (5752, 62), (3047, 62), (3483, 62), (4269, 62), (5141, 62)}","{3168, 3778, 3081, 5262, 4303, 4914, 5175, 5786, 4827, 3517}",10
28,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4092, 65), (4182, 62), (4356, 62), (3657, 62), (2960, 62), (5752, 62), (3396, 62), (3483, 62), (4269, 62)}","{3684, 3423, 4296, 2987, 4209, 5779, 3510, 4122, 2813, 4383}",10
29,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (3657, 62), (3744, 62), (4880, 62), (3134, 62), (3047, 62), (3483, 62), (4269, 62), (5141, 62)}","{3776, 2818, 3079, 3689, 4301, 4912, 5173, 4825, 3515, 3166}",10
30,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (5228, 62), (3657, 62), (3744, 62), (4880, 62), (3134, 62), (3047, 62), (3483, 62), (4269, 62), (5141, 62)}","{3078, 3688, 5259, 4300, 4911, 5172, 4824, 3514, 3165, 3775}",10
31,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (5228, 62), (3657, 62), (3744, 62), (4880, 62), (3047, 62), (3396, 62), (3483, 62), (4269, 62), (5141, 62)}","{3426, 3077, 3687, 5258, 4299, 4910, 5171, 4823, 3513, 3774}",10
32,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (5228, 62), (3657, 62), (3744, 62), (4880, 62), (3047, 62), (3396, 62), (3483, 62), (4269, 62), (5141, 62)}","{3425, 3076, 3686, 5257, 4298, 4909, 5170, 4822, 3512, 3773}",10
33,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4356, 62), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3483, 62), (3047, 62), (4269, 62)}","{4384, 3075, 4297, 2988, 4908, 4821, 2901, 3511, 3772, 2814}",10
34,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4356, 62), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3483, 62), (3047, 62), (4269, 62)}","{3074, 4296, 4907, 2987, 4820, 2900, 3510, 3771, 2813, 4383}",10
35,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4356, 62), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3483, 62), (3047, 62), (4269, 62)}","{3073, 4295, 2986, 4906, 4819, 2899, 3509, 3770, 2812, 4382}",10
36,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3047, 62), (3483, 62), (4269, 62)}","{4292, 2983, 4903, 4816, 2896, 3506, 4118, 3767, 2809, 3070}",10
37,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3047, 62), (3483, 62), (4269, 62)}","{4293, 4904, 2984, 4817, 2897, 3507, 4119, 3768, 2810, 3071}",10
38,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4356, 62), (3744, 62), (2960, 62), (4880, 62), (2873, 62), (3047, 62), (3483, 62), (4269, 62)}","{4292, 2983, 4903, 4816, 2896, 3506, 3767, 2809, 4379, 3070}",10
39,1.0,0.1,0.18181818181818182,1.0,"{(5665, 62), (4182, 62), (4356, 62), (3657, 62), (2873, 62), (3396, 62), (3483, 62), (3134, 62), (4269, 62), (5926, 62)}","{4198, 2889, 3499, 3150, 5681, 4372, 3412, 5942, 3673, 4285}",10
40,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4356, 62), (2960, 62), (4880, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (4269, 62)}","{4290, 4901, 2981, 4377, 4814, 3504, 3155, 2807, 3417, 3068}",10
41,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (6798, 62)}","{6816, 2978, 4898, 6118, 3849, 5770, 4811, 4113, 3762, 2804}",10
42,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3047, 62), (3831, 62), (4269, 62)}","{4288, 4899, 2979, 3850, 5771, 4812, 4114, 3763, 2805, 3066}",10
43,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{2978, 4898, 4550, 6118, 3849, 5770, 4811, 4113, 3762, 2804}",10
44,1.0,0.1,0.18181818181818182,1.0,"{(4182, 62), (4356, 62), (3657, 62), (2873, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (3221, 62), (4269, 62)}","{3238, 4199, 2890, 3500, 3151, 3413, 4373, 3064, 3674, 4286}",10
45,1.0,0.1,0.18181818181818182,1.0,"{(4182, 62), (4356, 62), (3657, 62), (2873, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (3221, 62), (4269, 62)}","{3237, 4198, 2889, 3499, 3150, 3412, 4372, 3063, 3673, 4285}",10
46,1.0,0.1,0.18181818181818182,1.0,"{(4182, 62), (4356, 62), (3657, 62), (2873, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (3221, 62), (4269, 62)}","{3237, 4198, 2889, 3499, 3150, 3412, 4372, 3063, 3673, 4285}",10
47,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (6798, 62)}","{6114, 3845, 5766, 4807, 4109, 3758, 2800, 2974, 6812, 4894}",10
48,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{6113, 4545, 3844, 5765, 4806, 4108, 3757, 2973, 2799, 4893}",10
49,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (4092, 65), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{4544, 6112, 3843, 5764, 4805, 4892, 4107, 3756, 2798, 2972}",10
50,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{4891, 3842, 5763, 4804, 4106, 3755, 2797, 6111, 2971, 4543}",10
51,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{3841, 5762, 4803, 4542, 4105, 3754, 2796, 4890, 6110, 2970}",10
52,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{3840, 5761, 4802, 4104, 3753, 2795, 4889, 2969, 6109, 4541}",10
53,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (4092, 65), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62)}","{5760, 4801, 4103, 3752, 2794, 6108, 4888, 2968, 4540, 3839}",10
54,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{4800, 6020, 6107, 3751, 2793, 2967, 4887, 4539, 3838, 5759}",10
55,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{6019, 3750, 2792, 4538, 2966, 4886, 6106, 3837, 5758, 4799}",10
56,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{6018, 3749, 2791, 4537, 2965, 4885, 6105, 3836, 5757, 4798}",10
57,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{6017, 3748, 2790, 4536, 2964, 4884, 6104, 3835, 5756, 4797}",10
58,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{6016, 4535, 3747, 2789, 4883, 2963, 6103, 3834, 5755, 4796}",10
59,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{3746, 2788, 4882, 2962, 4534, 6102, 3833, 5754, 4795, 6015}",10
60,1.0,0.1,0.18181818181818182,1.0,"{(2787, 61), (4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{3745, 2787, 2961, 4881, 4533, 6101, 3832, 5753, 4794, 6014}",10
61,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62), (6798, 62)}","{3744, 6798, 4880, 2960, 4532, 6100, 3831, 5752, 4793, 6013}",10
62,1.0,0.1,0.18181818181818182,1.0,"{(4793, 62), (6100, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62), (6798, 62)}","{3744, 6798, 4880, 2960, 4532, 6100, 3831, 5752, 4793, 6013}",10
63,1.0,0.1,0.18181818181818182,0.9682539682539681,"{(4793, 62), (6100, 62), (4706, 62), (3744, 62), (2960, 62), (4880, 62), (5752, 62), (3831, 62), (4532, 62), (6013, 62)}","{4704, 2958, 4878, 6098, 4530, 3829, 5750, 4791, 6011, 3742}",10
64,1.0,0.1,0.18181818181818182,1.0,"{(4182, 62), (4356, 62), (5228, 62), (3657, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (4269, 62), (5141, 62)}","{3394, 4354, 3045, 3655, 5226, 4267, 5139, 4180, 3481, 3132}",10
65,1.0,0.1,0.18181818181818182,1.0,"{(5228, 62), (3657, 62), (3221, 62), (2873, 62), (3134, 62), (3047, 62), (3396, 62), (3483, 62), (4269, 62), (5141, 62)}","{3396, 3047, 3657, 5228, 4269, 5141, 3221, 2873, 3483, 3134}",10
66,1.0,0.1,0.18181818181818182,1.0,"{(6187, 62), (5228, 62), (3657, 62), (3221, 62), (3134, 62), (3396, 62), (3483, 62), (3047, 62), (4269, 62), (5141, 62)}","{3394, 3045, 3655, 6185, 5226, 4267, 5139, 3219, 3481, 3132}",10
67,1.0,0.1,0.18181818181818182,1.0,"{(5228, 62), (3657, 62), (3221, 62), (2873, 62), (3134, 62), (3047, 62), (3396, 62), (3483, 62), (4269, 62), (5141, 62)}","{3394, 3045, 3655, 5226, 4267, 5139, 3219, 2871, 3481, 3132}",10
68,1.0,0.1,0.18181818181818182,1.0,"{(4356, 62), (5228, 62), (3657, 62), (3221, 62), (2873, 62), (3134, 62), (3047, 62), (3483, 62), (4269, 62), (5141, 62)}","{4356, 3047, 3657, 5228, 4269, 5141, 3221, 2873, 3483, 3134}",10
